case_id,model,material,deviation_from_pinn_score,deviation_from_ensemble_score,travel_time_ms_pred_abs_diff_pinn,max_displacement_abs_diff_pinn,max_temperature_perturbation_abs_diff_pinn,magnitude_abs_diff_pinn,travel_time_ms_pred_rel_diff_pinn,max_displacement_rel_diff_pinn,max_temperature_perturbation_rel_diff_pinn,magnitude_rel_diff_pinn
case_020_granite,transformer,granite,179.370638371123,0.4950217788926398,0.020243999999999984,0.0013732710000000001,300.864132,0.974837,0.19174449222194243,117.28336174879482,561.26655784391,38.7408893995652
case_021_limestone,pinn,limestone,0.0,0.9481652749777484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_021_limestone,mgn,limestone,46.07833510063701,0.5993308719437096,1.510465,0.0020289928139241003,3.09840325390625,0.955317,14.56529705008953,120.73025664606948,27.637910691380664,21.379876015008396
case_021_limestone,fno,limestone,988000507.3418518,8198920.976011231,1.1104649999999998,66372.492170694,119226.903518,71744.735373,10.708128019336872,3949332870.4844174,1063509.8924860756,1605638.2823757215
case_021_limestone,transformer,limestone,1591.6694190583437,0.4507813098680392,0.028480999999999992,0.0019939470000000003,698.020583,0.955317,0.274640077912166,118.64494117309646,6226.3782189673575,21.379876015008396
case_022_limestone,pinn,limestone,0.0,0.959885118369961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_022_limestone,mgn,limestone,49.15163147438429,0.8769603770379188,3.311724,0.0020251648139241003,3.14044225390625,0.955182,32.32716410885628,98.14697662969486,44.81992141721513,21.312463741770888
case_022_limestone,fno,limestone,804989711.5081034,8199598.662583616,1.711724,66372.492166866,119226.945557,71744.73523800001,16.708875092570487,3216656438.4127927,1701589.1070859507,1600801.8036592265
case_022_limestone,transformer,limestone,2520.1765791594075,0.4659350332156411,0.029740000000000003,0.001989783,698.064453,0.955182,0.2903049470902122,96.43224307297457,9962.671304875794,21.312463741770888
case_023_limestone,pinn,limestone,0.0,0.9637672320034437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_023_limestone,mgn,limestone,39.8959030439371,1.0136701167064692,2.9412860000000003,0.0020130498139241003,3.1041582539062498,0.953817,48.27399103795773,61.4690449312973,29.187587011782213,20.652989194711193
case_023_limestone,fno,limestone,507344343.3390963,8199598.6700358875,1.341286,66372.492154751,119226.909273,71744.733873,22.013917838434672,2026702803.9954865,1121059.3996528408,1553487.9473279456
case_023_limestone,transformer,limestone,1661.1764803025096,0.4733873056697614,0.017562000000000008,0.001977668,698.0281689999999,0.953817,0.28823712845626503,60.388651244659336,6563.376043642212,20.652989194711193
case_024_limestone,pinn,limestone,0.0,0.9601816509506382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_024_limestone,mgn,limestone,71.98263416585387,0.8769604416014852,3.31283,0.0020250278139241,3.18715125390625,0.955166,32.69089581368597,97.49302953305427,136.4421102688389,21.304501047836364
case_024_limestone,fno,limestone,800565877.0970029,8199905.562510973,1.71283,66374.960916729,119227.304766,71746.998328,16.90214924296017,3195559083.39367,5104127.092807734,1600280.9993843897
case_024_limestone,transformer,limestone,7500.901208021251,0.4659350977792075,0.030846,0.001989645,698.111895,0.955166,0.30438729795038,95.78955775891589,29886.2063859803,21.304501047836364
